val_loss,[0.10807699877768755, 0.107014797674492]
val_mse,[0.04240346282022074, 0.041642823303118345]
val_mae,[0.10807699905708432, 0.10701479758135975]
loss,[0.10956356674432755, 0.10671523958444595]
mse,[0.03718395531177521, 0.03934912011027336]
mae,[0.10956356301903725, 0.10671523585915565]
lr,[0.0004, 0.0004]
